38903;Chlorocharis;emiliae;Mountain Blackeye;;James Eckert;Malaysia;Summit Trail around 2 km, Mount Kinabalu, Sabah, Borneo;;;calls;Mountain Blackeye Xeno 1 Bor.mp3;http://www.xeno-canto.org/sounds/uploaded/XPXBIJNAXD/Mountain Blackeye Xeno 1 Bor.mp3;http://www.xeno-canto.org/sounds/uploaded/XPXBIJNAXD/ffts/tb/Mountain Blackeye Xeno 1 Bor.png
39201;Chlorocharis;emiliae;Mountain Blackeye;;Mike Nelson;Malaysia;Summit trail around 1.5 km, Mount Kinabalu, Sabah, Borneo;6.0456;116.5917;Song;MountainBlackeye.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/MountainBlackeye.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/MountainBlackeye.png
58816;Chlorocharis;emiliae;Mountain Blackeye;;Frank Lambert;Malaysia;Mount Kinabalu, Sabah, Borneo;6.0812;116.5648;calls;Chlorocharis_emiliae-FL_KinabaluPark_Sabah_MY_18Mar2010_1660m_R09_0065_.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Chlorocharis_emiliae-FL_KinabaluPark_Sabah_MY_18Mar2010_1660m_R09_0065_.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Chlorocharis_emiliae-FL_KinabaluPark_Sabah_MY_18Mar2010_1660m_R09_0065_.png
