23921;Orthotomus;castaneiceps;Philippine Tailorbird;;William Ruscher;Philippines;Mt. Talinas,  Negros Oriental;9.2539;123.2153;call;Phil tailorbird.mp3;http://www.xeno-canto.org/sounds/uploaded/FPWGRPRXLM/Phil tailorbird.mp3;http://www.xeno-canto.org/sounds/uploaded/FPWGRPRXLM/ffts/tb/Phil tailorbird.png
35251;Orthotomus;castaneiceps;Philippine Tailorbird;chloronotus;David Edwards;Philippines;Hamut, Baliuag, Sierra Madre Mountains, Luzon;17.5501;121.9501;song;PhilippineTailorbird2HamutLuzon09Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/PhilippineTailorbird2HamutLuzon09Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/PhilippineTailorbird2HamutLuzon09Edwards.png
35252;Orthotomus;castaneiceps;Philippine Tailorbird;chloronotus;David Edwards;Philippines;Hamut, Baliuag, Sierra Madre Mountains, Luzon;17.5501;121.9501;song;PhilippineTailorbirdHamutLuzon09Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/PhilippineTailorbirdHamutLuzon09Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/PhilippineTailorbirdHamutLuzon09Edwards.png
35253;Orthotomus;castaneiceps;Philippine Tailorbird;chloronotus;David Edwards;Philippines;Subic Bay, Luzon;14.808077;120.237808;song;PhilippineTailorbirdSubicLuzon09Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/PhilippineTailorbirdSubicLuzon09Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/PhilippineTailorbirdSubicLuzon09Edwards.png
40835;Orthotomus;castaneiceps;Philippine Tailorbird;;Paul Noakes;Philippines;Hamut, Baliuag, Sierra Madre Mountains, Luzon;17.5501;121.9501;;PHTbIRD3.mp3;http://www.xeno-canto.org/sounds/uploaded/XMKXOWRGXI/PHTbIRD3.mp3;http://www.xeno-canto.org/sounds/uploaded/XMKXOWRGXI/ffts/tb/PHTbIRD3.png
40836;Orthotomus;castaneiceps;Philippine Tailorbird;;Paul Noakes;Philippines;Hamut, Baliuag, Sierra Madre Mountains, Luzon;17.5501;121.9501;;PHTbIRD5.mp3;http://www.xeno-canto.org/sounds/uploaded/XMKXOWRGXI/PHTbIRD5.mp3;http://www.xeno-canto.org/sounds/uploaded/XMKXOWRGXI/ffts/tb/PHTbIRD5.png
40837;Orthotomus;castaneiceps;Philippine Tailorbird;;Paul Noakes;Philippines;Subic Bay, Luzon;14.808077;120.237808;;PHTbIRD+PHCOuC.mp3;http://www.xeno-canto.org/sounds/uploaded/XMKXOWRGXI/PHTbIRD+PHCOuC.mp3;http://www.xeno-canto.org/sounds/uploaded/XMKXOWRGXI/ffts/tb/PHTbIRD+PHCOuC.png
68914;Orthotomus;castaneiceps;Philippine Tailorbird;;Frank Lambert;Philippines;Mindanao. Zamboanga, Pasonanca Watershed Reserve, Cabonegro;6.9;122.1;song;Orthotomus_castaneiceps_frontalis_Mindanao-9Dec09-FRL_PH_R09.0128_0-4_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Orthotomus_castaneiceps_frontalis_Mindanao-9Dec09-FRL_PH_R09.0128_0-4_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Orthotomus_castaneiceps_frontalis_Mindanao-9Dec09-FRL_PH_R09.0128_0-4_S.png
68915;Orthotomus;castaneiceps;Philippine Tailorbird;rabori;Frank Lambert;Philippines;Negros. Mt. Canlaon;10.4;123.1;song;Orthotomus_castaneiceps_rabori_Negros-30Apr10-FRL_PH_R09.0178_0-55_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Orthotomus_castaneiceps_rabori_Negros-30Apr10-FRL_PH_R09.0178_0-55_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Orthotomus_castaneiceps_rabori_Negros-30Apr10-FRL_PH_R09.0178_0-55_1_S.png
79274;Orthotomus;castaneiceps;Philippine Tailorbird;;Desmond Allen;Philippines;Paoay Lake, Ilocos Norte Province, Luzon;;;call;99646.mp3;http://www.xeno-canto.org/sounds/uploaded/TPRMYCYSEA/99646.mp3;http://www.xeno-canto.org/sounds/uploaded/TPRMYCYSEA/ffts/tb/99646.png
