19871;Prinia;crinigera;Striated Prinia;;David Farrow;Bhutan;Tongsa;;;song;striatedpriniasongbhutanFarrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/striatedpriniasongbhutanFarrow.mp3;http://www.xeno-canto.org/sounds/uploaded/RNVWOVLEUN/ffts/tb/striatedpriniasongbhutanFarrow.png
61387;Prinia;crinigera;Striated Prinia;striata;Chie-Jen (Jerome) Ko;Taiwan;Wuling Recreation Area, Shei-pa National Park;24.378;121.309;Song;164-051-01.mp3;http://www.xeno-canto.org/sounds/uploaded/KJIUMYQVMO/164-051-01.mp3;http://www.xeno-canto.org/sounds/uploaded/KJIUMYQVMO/ffts/tb/164-051-01.png
61388;Prinia;crinigera;Striated Prinia;striata;Chie-Jen (Jerome) Ko;Taiwan;Wuling Recreation Area, Shei-pa National Park;24.378;121.309;call;164-051-02.mp3;http://www.xeno-canto.org/sounds/uploaded/KJIUMYQVMO/164-051-02.mp3;http://www.xeno-canto.org/sounds/uploaded/KJIUMYQVMO/ffts/tb/164-051-02.png
61389;Prinia;crinigera;Striated Prinia;striata;Chie-Jen (Jerome) Ko;Taiwan;Wuling Recreation Area, Shei-pa National Park;24.378;121.309;call+song;164-051-04.mp3;http://www.xeno-canto.org/sounds/uploaded/KJIUMYQVMO/164-051-04.mp3;http://www.xeno-canto.org/sounds/uploaded/KJIUMYQVMO/ffts/tb/164-051-04.png
81313;Prinia;crinigera;Striated Prinia;ssp parumstriata ??;Jonathan Martinez;China;Hunan province, Yunxi;29.42;113.219;song;StriatedPrinia(Prinia crinigera)song100610-008ChinaHunanYueyangJM.mp3;http://www.xeno-canto.org/sounds/uploaded/JZARYPSBFA/StriatedPrinia(Prinia crinigera)song100610-008ChinaHunanYueyangJM.mp3;http://www.xeno-canto.org/sounds/uploaded/JZARYPSBFA/ffts/tb/StriatedPrinia(Prinia crinigera)song100610-008ChinaHunanYueyangJM.png
