74587;Cinnyris;coccinigastrus;Splendid Sunbird;;G.Boano;Burkina Faso;Folonzo;;;song;Cinnyris coccinigastrus.mp3;http://www.xeno-canto.org/sounds/uploaded/YSSHZCSQHE/Cinnyris coccinigastrus.mp3;http://www.xeno-canto.org/sounds/uploaded/YSSHZCSQHE/ffts/tb/Cinnyris coccinigastrus.png
89046;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Botanical Gardens, University of Ghana, Accra;5.65911;-0.198698;song;splendidsunbird_grimes_5.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/splendidsunbird_grimes_5.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/ffts/tb/splendidsunbird_grimes_5.png
89047;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Legon Hill, near Common Hall, University of Ghana;5.649634;-0.196429;song;splendidsunbird_grimes_6.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/splendidsunbird_grimes_6.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/ffts/tb/splendidsunbird_grimes_6.png
89048;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Little Legon, Lower Hill, University of Ghana, Legon;6.472927;0.484085;song;splendidsunbird_grimes_7_1.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/splendidsunbird_grimes_7_1.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/ffts/tb/splendidsunbird_grimes_7_1.png
89049;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Little Legon, Lower Hill, University of Ghana, Legon;6.472927;0.484085;song;splendidsunbird_grimes_7_2.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/splendidsunbird_grimes_7_2.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/ffts/tb/splendidsunbird_grimes_7_2.png
89050;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Legon Hill, University of Ghana;5.649634;-0.196429;song;splendidsunbird_grimes_8_1.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/splendidsunbird_grimes_8_1.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/ffts/tb/splendidsunbird_grimes_8_1.png
89051;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Legon Hill, University of Ghana;5.649634;-0.196429;song;splendidsunbird_grimes_8_2.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/splendidsunbird_grimes_8_2.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/ffts/tb/splendidsunbird_grimes_8_2.png
89052;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Achimota School, Accra;5.65911;-0.198698;song;splendidsunbird_grimes_9.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/splendidsunbird_grimes_9.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/ffts/tb/splendidsunbird_grimes_9.png
89053;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;The Folley, University of Ghana, Legon;;;song;splendidsunbird_grimes_10_1.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/splendidsunbird_grimes_10_1.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/ffts/tb/splendidsunbird_grimes_10_1.png
89054;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;The Folley, University of Ghana, Legon;;;song;splendidsunbird_grimes_10_2.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/splendidsunbird_grimes_10_2.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/ffts/tb/splendidsunbird_grimes_10_2.png
89055;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Lower Hill, University of Ghana, Legon;6.472927;0.484085;song;splendidsunbird_grimes_11_1.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/splendidsunbird_grimes_11_1.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/ffts/tb/splendidsunbird_grimes_11_1.png
89056;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Lower Hill, University of Ghana, Legon;6.472927;0.484085;song;splendidsunbird_grimes_11_2.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/splendidsunbird_grimes_11_2.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/ffts/tb/splendidsunbird_grimes_11_2.png
89057;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Shai Hills;5.882;0.0437;song;splendidsunbird_grimes_12.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/splendidsunbird_grimes_12.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/ffts/tb/splendidsunbird_grimes_12.png
89058;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Lower Hill, University of Ghana, Legon;6.472927;0.484085;song;splendidsunbird_grimes_13_1.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/splendidsunbird_grimes_13_1.mp3;http://www.xeno-canto.org/sounds/uploaded/FNIUUANZIK/ffts/tb/splendidsunbird_grimes_13_1.png
99701;Cinnyris;coccinigastrus;Splendid Sunbird;;Mike Nelson;Cameroon;Mankon Sacred Forest, Mankon;6.0175;10.1056;Song;SplendidSunbird1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/SplendidSunbird1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/SplendidSunbird1.png
