20237;Garrulax;poecilorhynchus;Rusty Laughingthrush;ricinus;Nick Athanas;China;Wawu Shan (entrance road), Sichuan;29.6987;102.9542;song;HI-0599-Rusty-Laughingthrush.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/HI-0599-Rusty-Laughingthrush.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/tb/HI-0599-Rusty-Laughingthrush.png
34196;Garrulax;poecilorhynchus;Rusty Laughingthrush;;Frank Lambert;Taiwan;Dasyeushan Forest Reserve;24.26655;121.00029;song?;LAUGHINGTHRUSHRusty_FL 2 Dasyueshan2000m26Apr09.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/LAUGHINGTHRUSHRusty_FL 2 Dasyueshan2000m26Apr09.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/LAUGHINGTHRUSHRusty_FL 2 Dasyueshan2000m26Apr09.png
34197;Garrulax;poecilorhynchus;Rusty Laughingthrush;;Frank Lambert;Taiwan;Dasyeushan Forest Reserve;24.26655;121.00029;calls/song;LAUGHINGTHRUSHRusty_FL Dasyueshan2000m26Apr09.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/LAUGHINGTHRUSHRusty_FL Dasyueshan2000m26Apr09.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/LAUGHINGTHRUSHRusty_FL Dasyueshan2000m26Apr09.png
34198;Garrulax;poecilorhynchus;Rusty Laughingthrush;;Frank Lambert;Taiwan;Dasyeushan Forest Reserve;24.26655;121.00029;calls;LAUGHINGTHRUSHRusty_FL 3 Dasyueshan2000m26Apr09.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/LAUGHINGTHRUSHRusty_FL 3 Dasyueshan2000m26Apr09.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/LAUGHINGTHRUSHRusty_FL 3 Dasyueshan2000m26Apr09.png
