49035;Lonchura;malacca;Tricolored Munia;;Juan Pablo López O;Colombia;Colombia, Valle del Cauca, Municipio de Andalucía, Corregimiento Campo Alegre, Finca Charco de Oro, Humedal La Bolsa;4.185;-76.239;Calls;Lonchura malacca.mp3;http://www.xeno-canto.org/sounds/uploaded/UAYUTDXXII/Lonchura malacca.mp3;http://www.xeno-canto.org/sounds/uploaded/UAYUTDXXII/ffts/tb/Lonchura malacca.png
68576;Lonchura;malacca;Tricolored Munia;jagori;Frank Lambert;Philippines;Luzon. Candaba Swamp;15.15;120.86;calls;Lonchura_malacca_Philippines-Dec2009-FRL_PH_R09.0005_0-43_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Lonchura_malacca_Philippines-Dec2009-FRL_PH_R09.0005_0-43_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Lonchura_malacca_Philippines-Dec2009-FRL_PH_R09.0005_0-43_1_S.png
68577;Lonchura;malacca;Tricolored Munia;jagori;Frank Lambert;Philippines;Luzon. Candaba Swamp;15.15;120.86;calls;Lonchura_malacca_Philippines-Dec2009-FRL_PH_R09.0015_0-49_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Lonchura_malacca_Philippines-Dec2009-FRL_PH_R09.0015_0-49_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Lonchura_malacca_Philippines-Dec2009-FRL_PH_R09.0015_0-49_1_S.png
68578;Lonchura;malacca;Tricolored Munia;jagori;Frank Lambert;Philippines;Luzon. Candaba Swamp;15.15;120.86;calls;Lonchura_malacca_Philippines-Dec2009-FRL_PH_R09.0016_0-28_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Lonchura_malacca_Philippines-Dec2009-FRL_PH_R09.0016_0-28_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Lonchura_malacca_Philippines-Dec2009-FRL_PH_R09.0016_0-28_1_C.png
89389;Lonchura;malacca;Tricolored Munia;jagori;Frank Lambert;Indonesia;Gunung Ambang, Sulawesi;0.7784;124.4009;calls;Lonchura_malacca_jagori-FL calls GnAmbang Sulawesi 17Aug11 R09_0098.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Lonchura_malacca_jagori-FL calls GnAmbang Sulawesi 17Aug11 R09_0098.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Lonchura_malacca_jagori-FL calls GnAmbang Sulawesi 17Aug11 R09_0098.png
