18140;Tangara;inornata;Plain-colored Tanager;;Herman van Oosten;Colombia;El canon del Rio Claro, Antioquia;5.8334;-74.8667;calls;Tangarainornata_0900_04208.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/Tangarainornata_0900_04208.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/ffts/tb/Tangarainornata_0900_04208.png
18656;Tangara;inornata;Plain-colored Tanager;;Ken Allaire;Panama;Burbayar Lodge, Nusagandi, Panama;9.3334;-78.9667;call;pctanager080226.mp3;http://www.xeno-canto.org/sounds/uploaded/AEWPPXBBYE/pctanager080226.mp3;http://www.xeno-canto.org/sounds/uploaded/AEWPPXBBYE/ffts/tb/pctanager080226.png
31907;Tangara;inornata;Plain-colored Tanager;;Andrew Spencer;Panama;Pipeline Road, Colon;9.1667;-79.7667;song;Plain-colored Tanager2009-3-19-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Plain-colored Tanager2009-3-19-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Plain-colored Tanager2009-3-19-2.png
31908;Tangara;inornata;Plain-colored Tanager;;Andrew Spencer;Panama;Pipeline Road, Colon;9.1667;-79.7667;call;Plain-colored Tanager2009-3-19-3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Plain-colored Tanager2009-3-19-3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Plain-colored Tanager2009-3-19-3.png
31938;Tangara;inornata;Plain-colored Tanager;;Andrew Spencer;Panama;Parque Metropolitano, Panama;9.0245;-79.5528;calls;Plain-colored Tanager2009-3-17-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Plain-colored Tanager2009-3-17-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Plain-colored Tanager2009-3-17-1.png
83081;Tangara;inornata;Plain-colored Tanager;;Brian Cox;Panama;Parque Metropolitano, Panama;9.0245;-79.5528;calls;plain_coloured_ tanager.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/plain_coloured_ tanager.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/ffts/tb/plain_coloured_ tanager.png
83082;Tangara;inornata;Plain-colored Tanager;;Brian Cox;Panama;Parque Metropolitano, Panama;9.0245;-79.5528;calls;plain_coloured_ tanager2.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/plain_coloured_ tanager2.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/ffts/tb/plain_coloured_ tanager2.png
