28944;Icterus;portoricensis;Puerto Rican Oriole;;Jesse Fagan;United States;Puerto Rico, Maricao SF;;;call;Oriole_Greater Antillian (call)_JF_Maricao SF_Puerto Rico_April 2008.mp3;http://www.xeno-canto.org/sounds/uploaded/MKUJNSTVEZ/Oriole_Greater Antillian (call)_JF_Maricao SF_Puerto Rico_April 2008.mp3;http://www.xeno-canto.org/sounds/uploaded/MKUJNSTVEZ/ffts/tb/Oriole_Greater Antillian (call)_JF_Maricao SF_Puerto Rico_April 2008.png
32058;Icterus;portoricensis;Puerto Rican Oriole;portoricensis;Daniel Lane;Puerto Rico;Cambelache Forest, Puerto Rico;18.452;-66.5976;call;Icterus dominicensis090329_T1338.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Icterus dominicensis090329_T1338.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Icterus dominicensis090329_T1338.png
33681;Icterus;portoricensis;Puerto Rican Oriole;portoricensis;Daniel Lane;Puerto Rico;Hacienda Juanita's, W of Maricao, Puerto Rico;18.1787;-66.9931;calls, song;Icterus dominicensis090402_T1384.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Icterus dominicensis090402_T1384.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Icterus dominicensis090402_T1384.png
34284;Icterus;portoricensis;Puerto Rican Oriole;portoricensis;rene odeide;Puerto Rico;cidra;;;song;oriolepr.mp3;http://www.xeno-canto.org/sounds/uploaded/FBOJYWXVOU/oriolepr.mp3;http://www.xeno-canto.org/sounds/uploaded/FBOJYWXVOU/ffts/tb/oriolepr.png
45627;Icterus;portoricensis;Puerto Rican Oriole;portoricensis;rene odeide;Puerto Rico;urb sabanera cidra puerto rico;18.1877533292754;-66.1120834349276;song;00023oriolesongdawncoupe.mp3;http://www.xeno-canto.org/sounds/uploaded/FBOJYWXVOU/00023oriolesongdawncoupe.mp3;http://www.xeno-canto.org/sounds/uploaded/FBOJYWXVOU/ffts/tb/00023oriolesongdawncoupe.png
45628;Icterus;portoricensis;Puerto Rican Oriole;portoricensis;rene odeide;Puerto Rico;urb sabanera cidra puerto rico;18.1877533292754;-66.1120834349276;call;00022oriolecall.mp3;http://www.xeno-canto.org/sounds/uploaded/FBOJYWXVOU/00022oriolecall.mp3;http://www.xeno-canto.org/sounds/uploaded/FBOJYWXVOU/ffts/tb/00022oriolecall.png
46642;Icterus;portoricensis;Puerto Rican Oriole;portoricensis;Daniel Lane;Puerto Rico;Casa Cubuy, El Yunque NP, Puerto Rico;18.2609;-65.7967;call;Icterus dominicensis090404_T1434.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Icterus dominicensis090404_T1434.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Icterus dominicensis090404_T1434.png
48520;Icterus;portoricensis;Puerto Rican Oriole;;Daniel Lane;Puerto Rico;Casa Cubuy, El Yunque NP, Puerto Rico;18.2609;-65.7967;song;Icterus dominicensis100409_T93filtered.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Icterus dominicensis100409_T93filtered.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Icterus dominicensis100409_T93filtered.png
100150;Icterus;portoricensis;Puerto Rican Oriole;;Paul van Els;Puerto Rico;Bosque Estatal Guanica;17.976;-66.874;Calls (contact?);Icterus portoricensis.mp3;http://www.xeno-canto.org/sounds/uploaded/WINPWCQYKA/Icterus portoricensis.mp3;http://www.xeno-canto.org/sounds/uploaded/WINPWCQYKA/ffts/tb/Icterus portoricensis.png
