22401;Atlapetes;schistaceus;Slaty Brush Finch;schistaceus;Andrew Spencer;Colombia;R. N. Rio Blanco, Caldas;5.0834;-75.5001;song and calls;Slaty Brush-Finch2008-7-19-5.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Slaty Brush-Finch2008-7-19-5.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Slaty Brush-Finch2008-7-19-5.png
22402;Atlapetes;schistaceus;Slaty Brush Finch;schistaceus;Andrew Spencer;Colombia;R. N. Rio Blanco, Caldas;5.0834;-75.5001;dawn song;Slaty Brush-Finch2008-7-20_dawnsong.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Slaty Brush-Finch2008-7-20_dawnsong.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Slaty Brush-Finch2008-7-20_dawnsong.png
65654;Atlapetes;schistaceus;Slaty Brush Finch;;Willem-Pier Vellinga;Peru;Santa Barbara, Sector San Martin, PN Yanachaga-Chemillen, Pasco;-10.3389;-75.6298;song;29122009_112_022.mp3;http://www.xeno-canto.org/sounds/uploaded/AEFZWKWLMO/29122009_112_022.mp3;http://www.xeno-canto.org/sounds/uploaded/AEFZWKWLMO/ffts/tb/29122009_112_022.png
27405;Atlapetes;schistaceus;Slaty Brush Finch;schistaceus;Niels Krabbe;Colombia;Páramo de Frontino;6.4334;-76.0834;duet;Atlsch110804.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Atlsch110804.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Atlsch110804.png
29515;Atlapetes;schistaceus;Slaty Brush Finch;schistaceus;Niels Krabbe;Colombia;Tolima: 10 km NW Roncesvalles;4.0167;-75.6334;song;Atlapetes_schistaceus_2001_03_04_B_11-25_song.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Atlapetes_schistaceus_2001_03_04_B_11-25_song.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Atlapetes_schistaceus_2001_03_04_B_11-25_song.png
29516;Atlapetes;schistaceus;Slaty Brush Finch;;Niels Krabbe;Colombia;Tolima: 3 km W Roncesvalles;4.0667;-75.6834;male part of cascading duet and contact calls;Atlapetes_schistaceus_2001_03_06_B_366-371_duet.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Atlapetes_schistaceus_2001_03_06_B_366-371_duet.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Atlapetes_schistaceus_2001_03_06_B_366-371_duet.png
34334;Atlapetes;schistaceus;Slaty Brush Finch;taczanowskii;David Geale;Peru;Monte Potrero, Huanuco;-9.9051;-76.0651;Song;atlsch01a.mp3;http://www.xeno-canto.org/sounds/uploaded/SBFBVYGIJC/atlsch01a.mp3;http://www.xeno-canto.org/sounds/uploaded/SBFBVYGIJC/ffts/tb/atlsch01a.png
40619;Atlapetes;schistaceus;Slaty Brush Finch;schistaceus;Charlie Vogt;Ecuador;Guango lodge, Napo;-0.3862;-78.5956;song;Slaty Brush-Finch R0921_0123.mp3;http://www.xeno-canto.org/sounds/uploaded/NYTXYAQSTH/Slaty Brush-Finch R0921_0123.mp3;http://www.xeno-canto.org/sounds/uploaded/NYTXYAQSTH/ffts/tb/Slaty Brush-Finch R0921_0123.png
46837;Atlapetes;schistaceus;Slaty Brush Finch;taczanowskii;Andrew Spencer;Peru;Paty Trail, Huanuco;-9.6334;-76.1334;call;Slaty Brush-Finch2009-12-9-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Slaty Brush-Finch2009-12-9-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Slaty Brush-Finch2009-12-9-1.png
50677;Atlapetes;schistaceus;Slaty Brush Finch;;Bernabe Lopez-Lanus;Colombia;Finca La Carbonera (canon del rio Toche), Tolima;;;Song;Atlapetes schistaceus_Hacienda La Carbonera_Canon del Rio Toche_Toche_Tolima_Colombia_9JUN1998 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Atlapetes schistaceus_Hacienda La Carbonera_Canon del Rio Toche_Toche_Tolima_Colombia_9JUN1998 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Atlapetes schistaceus_Hacienda La Carbonera_Canon del Rio Toche_Toche_Tolima_Colombia_9JUN1998 b_Bernabe Lopez-Lanus.png
50678;Atlapetes;schistaceus;Slaty Brush Finch;;Bernabe Lopez-Lanus;Colombia;Finca La Carbonera (canon del rio Toche), Tolima;;;Song;Atlapetes schistaceus_Hacienda La Carbonera_Canon del Rio Toche_Toche_Tolima_Colombia_9JUN1998 c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Atlapetes schistaceus_Hacienda La Carbonera_Canon del Rio Toche_Toche_Tolima_Colombia_9JUN1998 c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Atlapetes schistaceus_Hacienda La Carbonera_Canon del Rio Toche_Toche_Tolima_Colombia_9JUN1998 c_Bernabe Lopez-Lanus.png
52500;Atlapetes;schistaceus;Slaty Brush Finch;;Bernabe Lopez-Lanus;Colombia;Finca La Selva (Quebrada San Jose), sobre Toche, Cajamarca, Tolima;;;Song;Atlapetes schistaceus_Quebrada San Jose_Arriba de Toche_Toche_Cajamarca_Tolima_Colombia_13JUL1998 a 6 y 36_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Atlapetes schistaceus_Quebrada San Jose_Arriba de Toche_Toche_Cajamarca_Tolima_Colombia_13JUL1998 a 6 y 36_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Atlapetes schistaceus_Quebrada San Jose_Arriba de Toche_Toche_Cajamarca_Tolima_Colombia_13JUL1998 a 6 y 36_Bernabe Lopez-Lanus.png
52501;Atlapetes;schistaceus;Slaty Brush Finch;;Bernabe Lopez-Lanus;Colombia;Finca La Selva (Quebrada San Jose), sobre Toche, Cajamarca, Tolima;;;Song;Atlapetes schistaceus_Quebrada San Jose_Arriba de Toche_Toche_Cajamarca_Tolima_Colombia_13JUL1998 b 6 y 36_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Atlapetes schistaceus_Quebrada San Jose_Arriba de Toche_Toche_Cajamarca_Tolima_Colombia_13JUL1998 b 6 y 36_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Atlapetes schistaceus_Quebrada San Jose_Arriba de Toche_Toche_Cajamarca_Tolima_Colombia_13JUL1998 b 6 y 36_Bernabe Lopez-Lanus.png
