26825;Apalis;melanocephala;Black-headed Apalis;;The late Jens O. Svendsen and Louis A. Hansen;Tanzania;Ndundulu, Udzungwa Mts, Iringa Region;-7.7834;36.4995;Song?;21 Apalis melanocephala-call-or-song-type1-simple-form_weak-recording.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/21 Apalis melanocephala-call-or-song-type1-simple-form_weak-recording.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/ffts/tb/21 Apalis melanocephala-call-or-song-type1-simple-form_weak-recording.png
33744;Apalis;melanocephala;Black-headed Apalis;adjacens;Bram Piot;Malawi;Zomba plateau;-15.3639;35.3009;Song;Apalis_melanocephala_Zomba_20090426_1_edited.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/Apalis_melanocephala_Zomba_20090426_1_edited.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/tb/Apalis_melanocephala_Zomba_20090426_1_edited.png
33745;Apalis;melanocephala;Black-headed Apalis;adjacens;Bram Piot;Malawi;Zomba plateau;-15.3639;35.3009;Song;Apalis_melanocephala_Zomba_20090426_2_edited.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/Apalis_melanocephala_Zomba_20090426_2_edited.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/tb/Apalis_melanocephala_Zomba_20090426_2_edited.png
33746;Apalis;melanocephala;Black-headed Apalis;adjacens;Bram Piot;Malawi;Zomba plateau;-15.3639;35.3009;Song;Apalis_melanocephala_Zomba_20090426_3_edited.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/Apalis_melanocephala_Zomba_20090426_3_edited.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/tb/Apalis_melanocephala_Zomba_20090426_3_edited.png
69812;Apalis;melanocephala;Black-headed Apalis;;Louis A. Hansen;Tanzania;Ukami Forest, Udzungwa Mts, Iringa Region;-7.8834;36.4001;Call;Bh_apalis-Ma_Call_Ukami1320m_2003-02-04_Low-highPass.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/Bh_apalis-Ma_Call_Ukami1320m_2003-02-04_Low-highPass.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/ffts/tb/Bh_apalis-Ma_Call_Ukami1320m_2003-02-04_Low-highPass.png
69813;Apalis;melanocephala;Black-headed Apalis;;Louis A. Hansen;Tanzania;Ukami Forest, Udzungwa Mts, Iringa Region;-7.8834;36.4001;Call;Bh_apalis-Ma_Call_Ukami1320m_2003-02-04_Low-highPass_too.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/Bh_apalis-Ma_Call_Ukami1320m_2003-02-04_Low-highPass_too.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/ffts/tb/Bh_apalis-Ma_Call_Ukami1320m_2003-02-04_Low-highPass_too.png
99392;Apalis;melanocephala;Black-headed Apalis;muhuluensis;Martin St-Michel;Tanzania;Sanje;-7.8128;36.8978;Song;Black-headed Apalis (Sanje-2011-10-26-06h08) LS110236.mp3;http://www.xeno-canto.org/sounds/uploaded/WOPORNCCSX/Black-headed Apalis (Sanje-2011-10-26-06h08) LS110236.mp3;http://www.xeno-canto.org/sounds/uploaded/WOPORNCCSX/ffts/tb/Black-headed Apalis (Sanje-2011-10-26-06h08) LS110236.png
