9503;Saltator;albicollis;Lesser Antillean Saltator;;Allen T. Chartier;Lesser Antilles;Castries, St. Lucia;14.0145;-60.9842;Song
23600;Saltator;albicollis;Lesser Antillean Saltator;;Oswaldo Cortes;Colombia;Soata (Reserva de Aves para Amazilia castaneiventris y Macroagelaius);6.3001;-72.7167;songs
23601;Saltator;albicollis;Lesser Antillean Saltator;;Oswaldo Cortes;Colombia;Soata (Reserva de Aves para Amazilia castaneiventris y Macroagelaius);6.3001;-72.7167;songs
