19779;Ficedula;mugimaki;Mugimaki Flycatcher;;David Farrow;Vietnam;Mount Lang Bian;12.05;108.45;calls
76828;Ficedula;mugimaki;Mugimaki Flycatcher;;Kuan-Chieh Hung;Taiwan;Pratas Island;20.704;116.72;Distress  call
76827;Ficedula;mugimaki;Mugimaki Flycatcher;;Kuan-Chieh Hung;Taiwan;Kaohsiung Wild Bird Society, Kaohsiung, Taiwan;22.632;120.303;Mechanical  call
