20237;Garrulax;poecilorhynchus;Rusty Laughingthrush;ricinus;Nick Athanas;China;Wawu Shan (entrance road), Sichuan;29.6987;102.9542;song
34196;Garrulax;poecilorhynchus;Rusty Laughingthrush;;Frank Lambert;Taiwan;Dasyeushan Forest Reserve;24.26655;121.00029;song?
34197;Garrulax;poecilorhynchus;Rusty Laughingthrush;;Frank Lambert;Taiwan;Dasyeushan Forest Reserve;24.26655;121.00029;calls/song
34198;Garrulax;poecilorhynchus;Rusty Laughingthrush;;Frank Lambert;Taiwan;Dasyeushan Forest Reserve;24.26655;121.00029;calls
