27177;Ficedula;bonthaina;Lompobattang Flycatcher;;Filip Verbelen;Indonesia;Montane forest near Malino city, South Sulawesi;;;call, maybe song ?
89575;Ficedula;bonthaina;Lompobattang Flycatcher;;Frank Lambert;Indonesia;Sulawesi: nr Molino, Lompobattang Mts;-5.2673;119.8734;song
89576;Ficedula;bonthaina;Lompobattang Flycatcher;;Frank Lambert;Indonesia;Sulawesi: nr Molino, Lompobattang Mts;-5.2673;119.8734;song
89577;Ficedula;bonthaina;Lompobattang Flycatcher;;Frank Lambert;Indonesia;Sulawesi: nr Molino, Lompobattang Mts;-5.2673;119.8734;song
89578;Ficedula;bonthaina;Lompobattang Flycatcher;;Frank Lambert;Indonesia;Sulawesi: nr Molino, Lompobattang Mts;-5.2673;119.8734;song
