15748;Calyptophilus;tertius;Western Chat-Tanager;;Ante Strand;Hispaniola;Baoruco NP, Dominican Republic;18.561646;-71.523743;song
97178;Calyptophilus;tertius;Western Chat-Tanager;;Ian Davies;Dominican Republic;Zapotén, Independencia, Dominican Republic;18.242;-71.75;Song
97179;Calyptophilus;tertius;Western Chat-Tanager;;Ian Davies;Dominican Republic;Zapotén, Independencia, Dominican Republic;18.242;-71.75;Call
