83804;Emberiza;cabanisi;Cabanis's Bunting;;David C. Moyer;Uganda;Bugungu Airstrip, Murchinson Falls National Park;2.21;31.562;territorial song
99082;Emberiza;cabanisi;Cabanis's Bunting;cabanisi;Mike Nelson;Cameroon;Njotin agricultural fields 2;6.239;10.515;Song
99083;Emberiza;cabanisi;Cabanis's Bunting;cabanisi;Mike Nelson;Cameroon;Njotin agricultural fields 2;6.239;10.515;Song
99084;Emberiza;cabanisi;Cabanis's Bunting;cabanisi;Mike Nelson;Cameroon;Njotin agricultural fields 2;6.239;10.515;Song
99085;Emberiza;cabanisi;Cabanis's Bunting;cabanisi;Mike Nelson;Cameroon;Njotin agricultural fields 2;6.239;10.515;Song
99086;Emberiza;cabanisi;Cabanis's Bunting;cabanisi;Mike Nelson;Cameroon;Njotin agricultural fields 2;6.239;10.515;Song
99088;Emberiza;cabanisi;Cabanis's Bunting;cabanisi;Mike Nelson;Cameroon;Njotin agricultural fields 2;6.239;10.515;Song
99089;Emberiza;cabanisi;Cabanis's Bunting;cabanisi;Mike Nelson;Cameroon;Njotin agricultural fields 2;6.239;10.515;Song
99090;Emberiza;cabanisi;Cabanis's Bunting;cabanisi;Mike Nelson;Cameroon;Njotin agricultural fields 2;6.239;10.515;Song
