6027;Dolospingus;fringilloides;White-naped Seedeater;;Chris Parrish;Venezuela;San Carlos del Rio Negro, Amazonas;1.9201;-67.0606;song
66598;Dolospingus;fringilloides;White-naped Seedeater;;Jeremy Minns;Brazil;Presidente Figueiredo. Lages Ecological Park;-2.01;-60.0334;Song
80972;Dolospingus;fringilloides;White-naped Seedeater;;Andrew Spencer;Colombia;Mitu, Vaupes;1.2598;-70.2367;call
80973;Dolospingus;fringilloides;White-naped Seedeater;;Andrew Spencer;Colombia;Mitu, Vaupes;1.2598;-70.2367;song
81445;Dolospingus;fringilloides;White-naped Seedeater;;Andrew Spencer;Colombia;Mitu, Vaupes;1.2598;-70.2367;call
81446;Dolospingus;fringilloides;White-naped Seedeater;;Andrew Spencer;Colombia;Mitu, Vaupes;1.2598;-70.2367;call
81447;Dolospingus;fringilloides;White-naped Seedeater;;Andrew Spencer;Colombia;Mitu, Vaupes;1.2598;-70.2367;song
