59079;Bathmocercus;rufus;Black-faced Rufous Warbler;;Marcell Claassen;Uganda;Buhoma2, Bwindi Impenetrable Forest;-0.997;29.616;song
98712;Bathmocercus;rufus;Black-faced Rufous Warbler;;Rory Nefdt;Kenya;Kakamega Forest Reserve;0.352;34.861;Alarm call
98715;Bathmocercus;rufus;Black-faced Rufous Warbler;;Rory Nefdt;Kenya;Kakamega Forest Reserve;0.352;34.861;Song
99015;Bathmocercus;rufus;Black-faced Rufous Warbler;rufus;Mike Nelson;Cameroon;Max's Trail, Mt Kupe;4.8239;9.7059;Call
99016;Bathmocercus;rufus;Black-faced Rufous Warbler;rufus;Mike Nelson;Cameroon;Max's Trail, Mt Kupe;4.8239;9.7059;Call
