19823;Ficedula;parva;Red-breasted Flycatcher;albicilla;David Farrow;Myanmar;Hlawgah park;;;calls
25484;Ficedula;parva;Red-breasted Flycatcher;;Niels Krabbe;Poland;Bialowieza;52.7167;23.8334;calls
25485;Ficedula;parva;Red-breasted Flycatcher;;Niels Krabbe;Poland;Bialowieza;52.7167;23.8334;song
26708;Ficedula;parva;Red-breasted Flycatcher;;Roger Ahlman;Sweden;Carlsnäs, Värnamo, Småland;57.2987;14.3259;song
26709;Ficedula;parva;Red-breasted Flycatcher;;Roger Ahlman;Sweden;Carlsnäs, Värnamo, Småland;57.2987;14.3259;song
27473;Ficedula;parva;Red-breasted Flycatcher;;Patrik Åberg;Sweden;Munkängarna, Kinnekulle, Västergötland;58.6098;13.3839;Song
27477;Ficedula;parva;Red-breasted Flycatcher;;Patrik Åberg;Sweden;Munkängarna, Kinnekulle, Västergötland;58.6098;13.3839;Song
27480;Ficedula;parva;Red-breasted Flycatcher;;Patrik Åberg;Sweden;Munkängarna, Kinnekulle, Västergötland;58.6098;13.3839;Song
27488;Ficedula;parva;Red-breasted Flycatcher;;Patrik Åberg;Sweden;Snipebro, Floda, Västergötland;58.1214;13.2856;Song and call
27503;Ficedula;parva;Red-breasted Flycatcher;;Patrik Åberg;Sweden;Sätra, Undenäs, Västergötland;58.6889;14.3478;Song and call
27507;Ficedula;parva;Red-breasted Flycatcher;;Patrik Åberg;Sweden;Karstorpssjön, Skövde, Västergötland;58.4192;13.8548;call
36408;Ficedula;parva;Red-breasted Flycatcher;;Tomas Belka;Poland;Biebrza Marshes;53.5001;22.7334;song
37895;Ficedula;parva;Red-breasted Flycatcher;;Bas van de Meulengraaf;Poland;Grzedy, NP Bierbza, Poland;53.6267;22.7876;call
39444;Ficedula;parva;Red-breasted Flycatcher;;Dougie Preston;United Kingdom;Aywick, Yell, Shetland.;60.5595;-1.0298;Call
40048;Ficedula;parva;Red-breasted Flycatcher;;Hugh Harrop;United Kingdom;Swinning, Shetland;;;Call
44517;Ficedula;parva;Red-breasted Flycatcher;parva;Herman van Oosten;Oman;Hilf: orchard;20.629;58.867;alarm call
44518;Ficedula;parva;Red-breasted Flycatcher;parva;Herman van Oosten;Oman;Hilf: orchard;20.629;58.867;calls
48776;Ficedula;parva;Red-breasted Flycatcher;;David Marques;Romania;Celic-Dere Monastery, Dobrogea, Romania;45.126;28.568;song
48777;Ficedula;parva;Red-breasted Flycatcher;;David Marques;Romania;Celic-Dere Monastery, Dobrogea, Romania;45.126;28.568;song
54604;Ficedula;parva;Red-breasted Flycatcher;;Benoit Nabholz;Sweden;Vendelsjön, Uppland;60.157;17.639;Song
76658;Ficedula;parva;Red-breasted Flycatcher;;Sindre Molværsmyr;Norway;Brenna;60.016;10.624;Song
78477;Ficedula;parva;Red-breasted Flycatcher;;Jacques PREVOST;Hungary;Szogliget forest, Aggtelek National park;;;song
78478;Ficedula;parva;Red-breasted Flycatcher;;Jacques PREVOST;Hungary;Szogliget forest, Aggtelek National park;;;song
80643;Ficedula;parva;Red-breasted Flycatcher;;Juha Honkala;Finland;Sipoo, Hindsby, Sipoo National Park;60.348;25.21;Song
83211;Ficedula;parva;Red-breasted Flycatcher;;Jelmer Poelstra;Sweden;Skarbo, Vendelsjön, Uppland;60.18;17.697;song
83233;Ficedula;parva;Red-breasted Flycatcher;;Jelmer Poelstra;Sweden;Kungshamn-Morga Naturreservat, Uppsala;59.774;17.648;song
83234;Ficedula;parva;Red-breasted Flycatcher;;Jelmer Poelstra;Sweden;Kungshamn-Morga Naturreservat, Uppsala;59.774;17.648;song
83626;Ficedula;parva;Red-breasted Flycatcher;;Jelmer Poelstra;Sweden;Skarbo, Vendelsjön, Uppland;60.18;17.697;song
83627;Ficedula;parva;Red-breasted Flycatcher;;Jelmer Poelstra;Sweden;Skarbo, Vendelsjön, Uppland;60.18;17.697;song
83628;Ficedula;parva;Red-breasted Flycatcher;;Jelmer Poelstra;Sweden;Skarbo, Vendelsjön, Uppland;60.18;17.697;call
87500;Ficedula;parva;Red-breasted Flycatcher;;Jelmer Poelstra;Sweden;Björn, Uppland;60.637;17.98;call
87501;Ficedula;parva;Red-breasted Flycatcher;;Jelmer Poelstra;Sweden;Björn, Uppland;60.637;17.98;call
87899;Ficedula;parva;Red-breasted Flycatcher;;Jelmer Poelstra;Sweden;Björn, Uppland;60.637;17.98;call
87900;Ficedula;parva;Red-breasted Flycatcher;;Jelmer Poelstra;Sweden;Björn, Uppland;60.637;17.98;call
87901;Ficedula;parva;Red-breasted Flycatcher;;Jelmer Poelstra;Sweden;Björn, Uppland;60.637;17.98;call
90500;Ficedula;parva;Red-breasted Flycatcher;;Louis A. Hansen;Denmark;Gedser, Gedser bird observatory and ringing station (GFU);54.5631;11.9642;Call
90501;Ficedula;parva;Red-breasted Flycatcher;;Louis A. Hansen;Denmark;Gedser, Gedser bird observatory and ringing station (GFU);54.5631;11.9642;Call
90502;Ficedula;parva;Red-breasted Flycatcher;;Louis A. Hansen;Denmark;Gedser, Gedser bird observatory and ringing station (GFU);54.5631;11.9642;Call
90623;Ficedula;parva;Red-breasted Flycatcher;;vir joshi;India;naghnath road amreli gujarat india;21.579;71.311;song
91150;Ficedula;parva;Red-breasted Flycatcher;;Lars Lachmann;Poland;Bieszczady Mountains, Poland;49.155;22.596;song
