37173;Taeniopygia;guttata;Zebra Finch;;Peter Woodall;Australia;Bladensburg NP, Winton;-22.601333;143.063965;calls
93055;Taeniopygia;guttata;Zebra Finch;;Oswaldo Cortes;Colombia;Bogota, Barrio Bosa;5.013;-74.244;songs
93056;Taeniopygia;guttata;Zebra Finch;;Oswaldo Cortes;Colombia;Bogota, Barrio Bosa;5.013;-74.244;songs
