19576;Ficedula;nigrorufa;Black-and-orange Flycatcher;;David Farrow;India;Ooty;;;calls
44899;Ficedula;nigrorufa;Black-and-orange Flycatcher;;Sander Bot;India;Ooty, Tamil Nadu;11.41;76.695;call
44906;Ficedula;nigrorufa;Black-and-orange Flycatcher;;Sander Bot;India;Ooty, Tamil Nadu;11.4101;76.6948;call
