60150;Iduna;similis;Mountain Yellow Warbler;;Wim Heylen;Kenya;Mount Kenya;;;song
64900;Iduna;similis;Mountain Yellow Warbler;;Marcell Claassen;Rwanda;Sabinyo Silverback Lodge, Kinigi;-1.409;29.577;call
64901;Iduna;similis;Mountain Yellow Warbler;;Marcell Claassen;Rwanda;Sabinyo Silverback Lodge, Kinigi;-1.409;29.577;call
