2865;Diglossa;glauca;Golden-eyed Flowerpiercer;;A. Bennett Hennessey;Bolivia;Serranías Beu  and  Chepete,  Pilón Lajas Biosphere R., La Paz;-15.1;-67.533;Calls
20771;Diglossa;glauca;Golden-eyed Flowerpiercer;glauca;Nick Athanas;Peru;ACP Abra Patricia-Alto Nieva, San Martín;-5.7009;-77.8123;song
61390;Diglossa;glauca;Golden-eyed Flowerpiercer;;Andrew Spencer;Ecuador;La Guatemala, along the Rio Zuñag, Tungurahua;-1.4009;-78.187;song and calls
61391;Diglossa;glauca;Golden-eyed Flowerpiercer;;Andrew Spencer;Ecuador;La Guatemala, along the Rio Zuñag, Tungurahua;-1.4009;-78.187;song and calls
86355;Diglossa;glauca;Golden-eyed Flowerpiercer;tyrianthina;Andrew Spencer;Ecuador;Condor Mirador, Zamora-Chinchipe;-3.6412;-78.3995;song and calls
