19848;Certhia;nipalensis;Rusty-flanked Treecreeper;;David Farrow;Bhutan;Dochu La;27.485736;89.752464;song
79836;Certhia;nipalensis;Rusty-flanked Treecreeper;;Frank Lambert;India;Eaglenest Wildlife Sanctuary, Arunachal Pradesh;27.1001;92.4001;calls
79837;Certhia;nipalensis;Rusty-flanked Treecreeper;;Frank Lambert;India;Eaglenest Wildlife Sanctuary, Arunachal Pradesh;27.1001;92.4001;calls
