21595;Heleia;crassirostris;Thick-billed Heleia;;Tamás Zalai;Indonesia;Paurlalo, Flores;;;song
31382;Heleia;crassirostris;Thick-billed Heleia;;Allen T. Chartier;Indonesia;Flores, Raren;-8.46667;120.01667;Song
31383;Heleia;crassirostris;Thick-billed Heleia;;Allen T. Chartier;Indonesia;Flores, Raren;-8.46667;120.01667;Song
