19359;Neosuthora;davidiana;Short-tailed Parrotbill;;Craig Robson;Vietnam;Tam Dao;21.4834;105.6334;song
68970;Neosuthora;davidiana;Short-tailed Parrotbill;;Frank Lambert;Vietnam;Tam Dao;21.5;105.6;call
68971;Neosuthora;davidiana;Short-tailed Parrotbill;;Frank Lambert;Vietnam;Tam Dao;21.5;105.6;call
68972;Neosuthora;davidiana;Short-tailed Parrotbill;;Frank Lambert;Vietnam;(Tam Dao);21.5;105.6;call
