40805;Dicaeum;hirundinaceum;Mistletoebird;hirundinaceum;Mark Harper;Australia;Gulpa Island State Forest, NSW;-35.7248;144.9359;Song
68141;Dicaeum;hirundinaceum;Mistletoebird;keiense;Frank Lambert;Indonesia;Kai Besar;-5.65;133.01;call
68142;Dicaeum;hirundinaceum;Mistletoebird;keiense;Frank Lambert;Indonesia;Kai Besar;-5.65;133.01;call
98288;Dicaeum;hirundinaceum;Mistletoebird;;Patrik Åberg;Australia;Kingfisher Park Julatten, Atherton Tableland Qld;-16.607;145.3428;Call
98289;Dicaeum;hirundinaceum;Mistletoebird;;Patrik Åberg;Australia;Mt Lewis, Atherton Tableland, Qld;-16.5389;145.287;Call
