23082;Orthotomus;frontalis;Rufous-fronted Tailorbird;;George Wagner;Philippines;Rajah Sikatuna NP, Bohol;9.698228;124.118729;Song
30740;Orthotomus;frontalis;Rufous-fronted Tailorbird;;Frank Lambert;Philippines;Valencia, Mindanao;7.903511;125.089302;song
30741;Orthotomus;frontalis;Rufous-fronted Tailorbird;;Frank Lambert;Philippines;Valencia, Mindanao;7.903511;125.089302;song
40995;Orthotomus;frontalis;Rufous-fronted Tailorbird;;Paul Noakes;Philippines;PICOP, Bislig, Mindanao;8.2589;126.1537;
40996;Orthotomus;frontalis;Rufous-fronted Tailorbird;;Paul Noakes;Philippines;PICOP, Bislig, Mindanao;8.2589;126.1537;
40997;Orthotomus;frontalis;Rufous-fronted Tailorbird;;Paul Noakes;Philippines;PICOP, Bislig, Mindanao;8.2589;126.1537;
40998;Orthotomus;frontalis;Rufous-fronted Tailorbird;;Paul Noakes;Philippines;PICOP, Bislig, Mindanao;8.2589;126.1537;
40999;Orthotomus;frontalis;Rufous-fronted Tailorbird;;Paul Noakes;Philippines;PICOP, Bislig, Mindanao;8.2589;126.1537;
