20527;Pomatorhinus;ochraceiceps;Red-billed Scimitar Babbler;;Mike Catsis;Vietnam;Deo Nui San;11.588342;108.104095;call after playback
26503;Pomatorhinus;ochraceiceps;Red-billed Scimitar Babbler;;David Edwards;Vietnam;Ta Nung Valley;;;song
26504;Pomatorhinus;ochraceiceps;Red-billed Scimitar Babbler;;David Edwards;Vietnam;Ta Nung Valley;;;song
26505;Pomatorhinus;ochraceiceps;Red-billed Scimitar Babbler;;David Edwards;Vietnam;Ta Nung Valley;;;song
40943;Pomatorhinus;ochraceiceps;Red-billed Scimitar Babbler;;Brian Cox;Vietnam;Tam Dao;21.4834;105.6334;song
40944;Pomatorhinus;ochraceiceps;Red-billed Scimitar Babbler;;Brian Cox;Vietnam;Tam Dao;21.4834;105.6334;song
69262;Pomatorhinus;ochraceiceps;Red-billed Scimitar Babbler;;Frank Lambert;Vietnam;(Tam Dao);21.5;105.6;call
