64936;Illadopsis;fulvescens;Brown Illadopsis;ugandae;Erik Eggenkamp;Uganda;Primate Lodge, Kibale Forest National Park;0.4459;30.3901;song
99052;Illadopsis;fulvescens;Brown Illadopsis;iboensis;Mike Nelson;Cameroon;Korup National Park;5.059;8.807;Song
99053;Illadopsis;fulvescens;Brown Illadopsis;iboensis;Mike Nelson;Cameroon;Korup National Park;5.059;8.807;Song
