14124;Ramphocelus;melanogaster;Huallaga Tanager;;Roger Ahlman;Peru;Yacumama, Rioja, San Martin;;;Dawn song
47826;Ramphocelus;melanogaster;Huallaga Tanager;;Andrew Spencer;Peru;Quebrada Mishquiyacu, Moyobamba, San Martin;-6.0792;-76.9762;calls
47827;Ramphocelus;melanogaster;Huallaga Tanager;;Andrew Spencer;Peru;Quebrada Mishquiyacu, Moyobamba, San Martin;-6.0792;-76.9762;calls
