26459;Cinnyris;notatus;Malagasy Green Sunbird;;Daniel Lane;Madagascar;Vohiparara trail, Ranomafana NP, Fianarantsoa Prov.;-21.2401;47.3937;call?
68833;Cinnyris;notatus;Malagasy Green Sunbird;;Frank Lambert;Madagascar;Ranomafana National Park;-21.26;47.42;calls
68834;Cinnyris;notatus;Malagasy Green Sunbird;;Frank Lambert;Madagascar;Ranomafana National Park;-21.26;47.42;calls
