23943;Leptopoecile;sophiae;White-browed Tit-warbler;obscura;George Wagner;China;Bei Zha Forest Reserve, Qinghai;31.8789;96.5509;calls
29202;Leptopoecile;sophiae;White-browed Tit-warbler;sophiae;Jan Hein van Steenis;Kazakhstan;Gaish, Kosmostantsia, Ile Alatau State National Park;43.090203;76.945496;call
29203;Leptopoecile;sophiae;White-browed Tit-warbler;sophiae;Jan Hein van Steenis;Kazakhstan;Gaish, Kosmostantsia, Ile Alatau State National Park;43.090203;76.945496;call
