70432;Leucosticte;tephrocotis;Grey-crowned Rosy Finch;tephrocotis, littoralis;Daniel Lane;United States;Gardiner, MT;45.039;-110.7;flight call
72922;Leucosticte;tephrocotis;Grey-crowned Rosy Finch;tephroctis;Ryan P. O'Donnell;United States;Powder Mountain, Utah;41.379;-111.782;Call
91903;Leucosticte;tephrocotis;Grey-crowned Rosy Finch;littoralis;Andrew Spencer;United States;Nealey Road, Okanogan Co., Washington;48.904;-119.074;call
91904;Leucosticte;tephrocotis;Grey-crowned Rosy Finch;littoralis;Andrew Spencer;United States;Nealey Road, Okanogan Co., Washington;48.904;-119.074;call
91905;Leucosticte;tephrocotis;Grey-crowned Rosy Finch;littoralis;Andrew Spencer;United States;Nealey Road, Okanogan Co., Washington;48.904;-119.074;call
