20759;Foudia;flavicans;Rodrigues Fody;;George Sangster;Mauritius;Solitude, Rodrigues I;-19.6892;63.4339;song
34792;Foudia;flavicans;Rodrigues Fody;;Frank Lambert;Mauritius;Rodrigues I;;;calls of both sexes and song of male
34793;Foudia;flavicans;Rodrigues Fody;;Frank Lambert;Mauritius;Rodrigues I;;;calls of both sexes and song of male
