28970;Cichladusa;arquata;Collared Palm Thrush;;Bram Piot;Malawi;Rumphi, Rumphi district;-11.0603;33.7125;Calls
41335;Cichladusa;arquata;Collared Palm Thrush;;Derek Solomon;Zambia;South Luangwa National Park Mushilashi;-13.0667;31.9001;Song
41532;Cichladusa;arquata;Collared Palm Thrush;;Derek Solomon;Zambia;South Luangwa National Park Home;-13.1834;31.7501;Contact call
84148;Cichladusa;arquata;Collared Palm Thrush;;Derek Solomon;Zambia;South Luangwa National Park Home;-13.1834;31.7501;Song
84196;Cichladusa;arquata;Collared Palm Thrush;;Derek Solomon;Zambia;South Luangwa National Park Lodge;-13.0667;31.7834;Song
