28944;Icterus;portoricensis;Puerto Rican Oriole;;Jesse Fagan;United States;Puerto Rico, Maricao SF;;;call
32058;Icterus;portoricensis;Puerto Rican Oriole;portoricensis;Daniel Lane;Puerto Rico;Cambelache Forest, Puerto Rico;18.452;-66.5976;call
33681;Icterus;portoricensis;Puerto Rican Oriole;portoricensis;Daniel Lane;Puerto Rico;Hacienda Juanita's, W of Maricao, Puerto Rico;18.1787;-66.9931;calls, song
34284;Icterus;portoricensis;Puerto Rican Oriole;portoricensis;rene odeide;Puerto Rico;cidra;;;song
45627;Icterus;portoricensis;Puerto Rican Oriole;portoricensis;rene odeide;Puerto Rico;urb sabanera cidra puerto rico;18.1877533292754;-66.1120834349276;song
45628;Icterus;portoricensis;Puerto Rican Oriole;portoricensis;rene odeide;Puerto Rico;urb sabanera cidra puerto rico;18.1877533292754;-66.1120834349276;call
46642;Icterus;portoricensis;Puerto Rican Oriole;portoricensis;Daniel Lane;Puerto Rico;Casa Cubuy, El Yunque NP, Puerto Rico;18.2609;-65.7967;call
48520;Icterus;portoricensis;Puerto Rican Oriole;;Daniel Lane;Puerto Rico;Casa Cubuy, El Yunque NP, Puerto Rico;18.2609;-65.7967;song
100150;Icterus;portoricensis;Puerto Rican Oriole;;Paul van Els;Puerto Rico;Bosque Estatal Guanica;17.976;-66.874;Calls (contact?)
