19233;Bradypterus;luteoventris;Brown Bush Warbler;;Craig Robson;Myanmar;Mount Victoria;21.23333;93.91667;song
20242;Bradypterus;luteoventris;Brown Bush Warbler;luteoventris;Nick Athanas;China;Wawu Shan (summit), Sichuan;29.6987;102.9542;calls
20245;Bradypterus;luteoventris;Brown Bush Warbler;luteoventris;Nick Athanas;China;Wawu Shan (summit), Sichuan;29.6987;102.9542;song
