20756;Foudia;rubra;Mauritius Fody;;George Sangster;Mauritius;Basin Blanc;;;song
26429;Foudia;rubra;Mauritius Fody;;Daniel Lane;Mauritius;Bassin Blanc NP;-20.4428;57.4784;song
26735;Foudia;rubra;Mauritius Fody;;Daniel Lane;Mauritius;Bassin Blanc NP;-20.4428;57.4784;song, calls
26737;Foudia;rubra;Mauritius Fody;;Daniel Lane;Mauritius;Bassin Blanc NP;-20.4428;57.4784;song, calls
