15091;Tangara;chrysotis;Golden-eared Tanager;chrysotis;Roger Ahlman;Ecuador;San Rafael Falls, Sucumbíos;-0.1076;-77.5917;call
45635;Tangara;chrysotis;Golden-eared Tanager;;Andrew Spencer;Peru;Afluente, San Martin;-5.6667;-77.7001;calls
45636;Tangara;chrysotis;Golden-eared Tanager;;Andrew Spencer;Peru;Afluente, San Martin;-5.6667;-77.7001;calls
