6197;Gymnomystax;mexicanus;Oriole Blackbird;;Chris Parrish;Venezuela;Embalse de Camatagua, Aragua;9.8128;-66.9401;Raspy screech.
32209;Gymnomystax;mexicanus;Oriole Blackbird;;Sidnei Dantas;Brazil;Monte Alegre, state of Pará;-2.0375;-54.1131;calls
54541;Gymnomystax;mexicanus;Oriole Blackbird;;Bernabe Lopez-Lanus;Colombia;Finca La Pradera, Parroquia Remolinos, Municipio Puerto Lopez, Meta;;;Song
54548;Gymnomystax;mexicanus;Oriole Blackbird;griseiceps;Bernabe Lopez-Lanus;Colombia;Finca La Pradera, Parroquia Remolinos, Municipio Puerto Lopez, Meta;;;Call
86262;Gymnomystax;mexicanus;Oriole Blackbird;;Oswaldo Cortes;Colombia;Trinidad, Casanare;5.408;-71.672;songs
86263;Gymnomystax;mexicanus;Oriole Blackbird;;Oswaldo Cortes;Colombia;Trinidad, Casanare;5.408;-71.672;songs
91786;Gymnomystax;mexicanus;Oriole Blackbird;;Oswaldo Cortes;Colombia;Finca Las Pampas, Municipio San Martin (meta);3.656;-73.718;songs
