23283;Alethe;diademata;White-tailed Alethe;;Frank Lambert;Sierra Leone;Freetown Peninsula;8.447922;-13.249512;song
41201;Alethe;diademata;White-tailed Alethe;;Louis Boon;Uganda;Semuliki Forest NP;0.827379;30.039711;call
67447;Alethe;diademata;White-tailed Alethe;;Marcell Claassen;Uganda;Mabira Forest Pond;0.411;33.048;call
