19871;Prinia;crinigera;Striated Prinia;;David Farrow;Bhutan;Tongsa;;;song
61387;Prinia;crinigera;Striated Prinia;striata;Chie-Jen (Jerome) Ko;Taiwan;Wuling Recreation Area, Shei-pa National Park;24.378;121.309;Song
61388;Prinia;crinigera;Striated Prinia;striata;Chie-Jen (Jerome) Ko;Taiwan;Wuling Recreation Area, Shei-pa National Park;24.378;121.309;call
61389;Prinia;crinigera;Striated Prinia;striata;Chie-Jen (Jerome) Ko;Taiwan;Wuling Recreation Area, Shei-pa National Park;24.378;121.309;call+song
81313;Prinia;crinigera;Striated Prinia;ssp parumstriata ??;Jonathan Martinez;China;Hunan province, Yunxi;29.42;113.219;song
