34149;Actinodura;morrisoniana;Taiwan Barwing;;Frank Lambert;Taiwan;Blue Gate Trail;;;coarse chattering
62887;Actinodura;morrisoniana;Taiwan Barwing;;Chie-Jen (Jerome) Ko;Taiwan;Yushan National Park;23.512;120.8906;call
72915;Actinodura;morrisoniana;Taiwan Barwing;;Chie-Jen (Jerome) Ko;Taiwan;Yushan National Park;23.512;120.8906;
