18140;Tangara;inornata;Plain-colored Tanager;;Herman van Oosten;Colombia;El canon del Rio Claro, Antioquia;5.8334;-74.8667;calls
18656;Tangara;inornata;Plain-colored Tanager;;Ken Allaire;Panama;Burbayar Lodge, Nusagandi, Panama;9.3334;-78.9667;call
31907;Tangara;inornata;Plain-colored Tanager;;Andrew Spencer;Panama;Pipeline Road, Colon;9.1667;-79.7667;song
31908;Tangara;inornata;Plain-colored Tanager;;Andrew Spencer;Panama;Pipeline Road, Colon;9.1667;-79.7667;call
31938;Tangara;inornata;Plain-colored Tanager;;Andrew Spencer;Panama;Parque Metropolitano, Panama;9.0245;-79.5528;calls
83081;Tangara;inornata;Plain-colored Tanager;;Brian Cox;Panama;Parque Metropolitano, Panama;9.0245;-79.5528;calls
83082;Tangara;inornata;Plain-colored Tanager;;Brian Cox;Panama;Parque Metropolitano, Panama;9.0245;-79.5528;calls
