23964;Rhopophilus;pekinensis;Chinese Hill Warbler;;Wouter Halfwerk;China;Liuyu, near Houma, Shanxi Province;35.5764;111.1153;song
80339;Rhopophilus;pekinensis;Chinese Hill Warbler;;Tom Beeke;China;Dalian, China;39.078;122.028;
81420;Rhopophilus;pekinensis;Chinese Hill Warbler;;Tom Beeke;China;Near Lushun, Dalian, China;39.015;121.401;territorial call
81422;Rhopophilus;pekinensis;Chinese Hill Warbler;;Tom Beeke;China;Near Lushun, Dalian, China;39.015;121.401;territorial call
86632;Rhopophilus;pekinensis;Chinese Hill Warbler;;Tom Beeke;China;Dalian, China;39.068;122.066;
86633;Rhopophilus;pekinensis;Chinese Hill Warbler;;Tom Beeke;China;Dalian, China;39.068;122.066;
