34272;Regulus;goodfellowi;Flamecrest;;Frank Lambert;Taiwan;Dasyeushan Forest Reserve;24.26655;121.00029;song?
59354;Regulus;goodfellowi;Flamecrest;;Chie-Jen (Jerome) Ko;Taiwan;Yushan National Park;23.512;120.8906;call
59355;Regulus;goodfellowi;Flamecrest;;Chie-Jen (Jerome) Ko;Taiwan;Yushan National Park;23.512;120.8906;call
59357;Regulus;goodfellowi;Flamecrest;;Chie-Jen (Jerome) Ko;Taiwan;Yushan National Park;23.512;120.8906;call
59360;Regulus;goodfellowi;Flamecrest;;Chie-Jen (Jerome) Ko;Taiwan;Yushan National Park;23.512;120.8906;song
59361;Regulus;goodfellowi;Flamecrest;;Chie-Jen (Jerome) Ko;Taiwan;Yushan National Park;23.512;120.8906;song
59363;Regulus;goodfellowi;Flamecrest;;Chie-Jen (Jerome) Ko;Taiwan;Yushan National Park;23.512;120.8906;call
59364;Regulus;goodfellowi;Flamecrest;;Chie-Jen (Jerome) Ko;Taiwan;Yushan National Park;23.512;120.8906;call
87461;Regulus;goodfellowi;Flamecrest;;Tsai-Yu Wu;Taiwan;Yushan Main Peak Trail (to Paiyun Lodge), Yushan National Park, Taiwan;23.475;120.904;
92145;Regulus;goodfellowi;Flamecrest;;Tsai-Yu Wu;Taiwan;Yushan Main Peak Trail (to Yushan Main Peak), Yushan National Park, Taiwan;23.4680490081521;120.944495201111;
