95660;Lonchura;cucullata;Bronze Mannikin;;Rory Nefdt;Kenya;Gigiri, Nairobi;-1.227;36.8159;Song, Call
98991;Lonchura;cucullata;Bronze Mannikin;cucullata;Mike Nelson;Cameroon;Edea;3.793;10.137;Call
98992;Lonchura;cucullata;Bronze Mannikin;cucullata;Mike Nelson;Cameroon;Edea;3.793;10.137;Call
