53894;Cinnyris;johannae;Johanna's Sunbird;;Mike Catsis;Ghana;Kakum Nationalpark;5.3537;-1.3828;call
99265;Cinnyris;johannae;Johanna's Sunbird;johannae;Mike Nelson;Cameroon;Mt Cameroon;4.1939;9.2009;Song
99266;Cinnyris;johannae;Johanna's Sunbird;johannae;Mike Nelson;Cameroon;Mankon Sacred Forest, Mankon;6.0175;10.1056;Song
