40130;Locustella;fasciolata;Gray's Grasshopper Warbler;;Klaas Felix Jachmann;Russian Federation;Vlas'evo;53.4259;140.8984;song
68573;Locustella;fasciolata;Gray's Grasshopper Warbler;;Frank Lambert;Indonesia;Buru;-3.25;126.15;song
68574;Locustella;fasciolata;Gray's Grasshopper Warbler;;Frank Lambert;Indonesia;Buru;-3.25;126.15;call
