18019;Turdoides;plebejus;Brown Babbler;;Allen T. Chartier;Gambia;Kotu Beach;13.4578;-16.7095;Song
78314;Turdoides;plebejus;Brown Babbler;platycirca;Bram Piot;Burkina Faso;Forêt de Bängr-Weoogo, Ouagadougou;12.3909;-1.4928;Call
78315;Turdoides;plebejus;Brown Babbler;platycirca;Bram Piot;Burkina Faso;Forêt de Bängr-Weoogo, Ouagadougou;12.3909;-1.4928;Call
