26537;Aethopyga;saturata;Black-throated Sunbird;annamensis;David Edwards;Vietnam;Ta Nung Valley;;;song
35448;Aethopyga;saturata;Black-throated Sunbird;;Arnold Meijer;India;Arunachal Pradesh;;;song
39351;Aethopyga;saturata;Black-throated Sunbird;wrayi;Frank Lambert;Malaysia;Bukit Fraser, border of Pahang and Selangor;3.712;101.7381;calls/song
39352;Aethopyga;saturata;Black-throated Sunbird;;Frank Lambert;Malaysia;Bukit Fraser, border of Pahang and Selangor;3.712;101.7381;calls
39353;Aethopyga;saturata;Black-throated Sunbird;;Frank Lambert;Malaysia;Bukit Fraser, border of Pahang and Selangor;3.712;101.7381;calls/song
39354;Aethopyga;saturata;Black-throated Sunbird;wrayi;Frank Lambert;Malaysia;Bukit Fraser, border of Pahang and Selangor;3.712;101.7381;song
39355;Aethopyga;saturata;Black-throated Sunbird;wrayi;Frank Lambert;Malaysia;Bukit Fraser, border of Pahang and Selangor;3.712;101.7381;song/calls
67546;Aethopyga;saturata;Black-throated Sunbird;;Frank Lambert;Malaysia;Selangor. Fraser's Hill;3.712;101.728;song
74073;Aethopyga;saturata;Black-throated Sunbird;petersi;Herman van Oosten;Vietnam;Cuc Phuong NP;20.8998;106.4001;song?
88512;Aethopyga;saturata;Black-throated Sunbird;wrayi;Frank Lambert;Malaysia;Fraser's Hill, Pahang;3.7118769;101.736488;male calls
88513;Aethopyga;saturata;Black-throated Sunbird;wrayi;Frank Lambert;Malaysia;Fraser's Hill, Pahang;3.7117;101.7364;male calls
94307;Aethopyga;saturata;Black-throated Sunbird;anomala;Mike Nelson;Thailand;Ban Krang, KM 15-18, Kaeng Krachan NP, Phetchaburi;12.7989;99.4539;Call
