3813;Limnothlypis;swainsonii;Swainson's Warbler;;Darrell L. Peterson;United States;GREAT DISMAL SWAMP, VA;;;SONG
16628;Limnothlypis;swainsonii;Swainson's Warbler;;Don Jones;United States;Jakes Landing Road, Cape May County, NJ;39.195;-74.9845;song
20754;Limnothlypis;swainsonii;Swainson's Warbler;;Chris Parrish;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;songs
20755;Limnothlypis;swainsonii;Swainson's Warbler;;Chris Parrish;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;songs
33560;Limnothlypis;swainsonii;Swainson's Warbler;;Andrew Spencer;United States;Prairie Lakes, White River NWR, Desha Co., Arkansas;34.1675;-91.1148;call
33561;Limnothlypis;swainsonii;Swainson's Warbler;;Andrew Spencer;United States;Prairie Lakes, White River NWR, Desha Co., Arkansas;34.1675;-91.1148;call
48846;Limnothlypis;swainsonii;Swainson's Warbler;;Tayler Brooks;United States;Fayette Co., West Virginia;37.937;-80.957;Song
49207;Limnothlypis;swainsonii;Swainson's Warbler;;Andrew Spencer;United States;Mill Creek, Fayette Co., West Virginia;38.088;-81.073;song
49208;Limnothlypis;swainsonii;Swainson's Warbler;;Andrew Spencer;United States;Millroy Grose Road, Fayette Co., West Virginia;38.077;-81.0589;flight call
54370;Limnothlypis;swainsonii;Swainson's Warbler;;Andrew Spencer;United States;Fayette Co., West Virginia;37.937;-80.957;song
54431;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song
54432;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;call/Song
54433;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;call
59132;Limnothlypis;swainsonii;Swainson's Warbler;;Tayler Brooks;United States;Millroy Grose Road, Fayette Co., West Virginia;38.077;-81.0589;Agitated calls
59133;Limnothlypis;swainsonii;Swainson's Warbler;;Tayler Brooks;United States;Millroy Grose Road, Fayette Co., West Virginia;38.077;-81.059;Call
59134;Limnothlypis;swainsonii;Swainson's Warbler;;Tayler Brooks;United States;Mill Creek, Fayette Co., West Virginia;38.0878;-81.0728;Song
67622;Limnothlypis;swainsonii;Swainson's Warbler;;Jacob Socolar;United States;Croatan National Forest, North Carolina;34.8334;-76.9495;Song
67623;Limnothlypis;swainsonii;Swainson's Warbler;;Jacob Socolar;United States;Croatan National Forest, North Carolina;34.8334;-76.9495;Song
67624;Limnothlypis;swainsonii;Swainson's Warbler;;Jacob Socolar;United States;Croatan National Forest, North Carolina;34.8334;-76.9495;Song
76708;Limnothlypis;swainsonii;Swainson's Warbler;;Sander Pieterse and Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;song
76713;Limnothlypis;swainsonii;Swainson's Warbler;;Sander Pieterse;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;song
76714;Limnothlypis;swainsonii;Swainson's Warbler;;Sander Pieterse;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;song
76715;Limnothlypis;swainsonii;Swainson's Warbler;;Sander Pieterse;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;song
78712;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song
78713;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song
78714;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song
78715;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song
78716;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song
78717;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song
78718;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song
78719;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song
82120;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Call
82121;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song
82122;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song
82123;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song
