65186;Emberiza;rutila;Chestnut Bunting;;Kuan-Chieh Hung;Taiwan;Pratas Island;20.7039;116.7198;Call
77962;Emberiza;rutila;Chestnut Bunting;;Frank Lambert;China;“ Near Cixi” Hangzhou Bay Wetlands Centre;30.206;121.033;calls
77963;Emberiza;rutila;Chestnut Bunting;;Frank Lambert;China;“ Near Cixi” Hangzhou Bay Wetlands Centre;30.206;121.033;calls
79397;Emberiza;rutila;Chestnut Bunting;;Desmond Allen;Thailand;Doi Inthanon National Park, North Western Thailand;;;call
81110;Emberiza;rutila;Chestnut Bunting;;Jonathan Martinez;China;Guangxi province, Yizhou, Beishanzhen, Shanli;24.324;108.513;call
