67443;Motacilla;capensis;Cape Wagtail;;Marcell Claassen;Rwanda;Gisenyi;-1.712;29.269;call
78111;Motacilla;capensis;Cape Wagtail;;Derek Solomon;South Africa;Paternoster;-32.8167;17.8501;Call
78116;Motacilla;capensis;Cape Wagtail;;Derek Solomon;South Africa;Paternoster;-32.8167;17.8501;Call
