21142;Heterophasia;gracilis;Grey Sibia;;Scott Olmstead;China;East of Nabang, Yunnan;;;song
21899;Heterophasia;gracilis;Grey Sibia;;Mathias Ritschard;India;Shillong, Meghalaya;25.5667;91.8667;calls
21900;Heterophasia;gracilis;Grey Sibia;;Mathias Ritschard;India;Khonoma Village, Nagaland;25.6501;94.0334;song
21901;Heterophasia;gracilis;Grey Sibia;;Mathias Ritschard;India;Khonoma Village, Nagaland;25.6501;94.0334;calls
21902;Heterophasia;gracilis;Grey Sibia;;Mathias Ritschard;India;Khonoma Village, Nagaland;25.6501;94.0334;calls
21903;Heterophasia;gracilis;Grey Sibia;;Mathias Ritschard;India;Shillong, Meghalaya;25.5667;91.8667;song
79456;Heterophasia;gracilis;Grey Sibia;;Desmond Allen;India;Mawphlang, Shillong, Meghalaya;;;song
80545;Heterophasia;gracilis;Grey Sibia;dorsalis;Frank Lambert;Myanmar;Mount Victoria;21.2331;93.9167;calls (agitated)
