8745;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Herman van Oosten;Peru;Riverisland in front of Iquitos, Loreto;;;song
22272;Chrysomus;icterocephalus;Yellow-hooded Blackbird;bogotensis;Andrew Spencer;Colombia;Parque La Florida, Bogota;4.729727;-74.135742;song
22273;Chrysomus;icterocephalus;Yellow-hooded Blackbird;bogotensis;Andrew Spencer;Colombia;Parque La Florida, Bogota;4.729727;-74.135742;song
23594;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;Cerro de la Conejera (Bogota);4.7709;-74.0695;songs
36652;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;Cerro de la Conejera (Bogota);4.7709;-74.0695;Songs
38022;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;Humdela de Santa maria el Lago (Bogota);;;Songs
38024;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;Humdela de Santa maria el Lago (Bogota);;;
44036;Chrysomus;icterocephalus;Yellow-hooded Blackbird;icterocephalus;Alexandre Renaudier;French Guiana;Mana, rice fields;;;song
45523;Chrysomus;icterocephalus;Yellow-hooded Blackbird;bogotensis;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Songs
45524;Chrysomus;icterocephalus;Yellow-hooded Blackbird;bogotensis;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Song
45525;Chrysomus;icterocephalus;Yellow-hooded Blackbird;bogotensis;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Call
45526;Chrysomus;icterocephalus;Yellow-hooded Blackbird;bogotensis;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Calls
45527;Chrysomus;icterocephalus;Yellow-hooded Blackbird;bogotensis;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Trino calls
45528;Chrysomus;icterocephalus;Yellow-hooded Blackbird;bogotensis;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Song
54279;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal de La Conejera (Bogota), Cundinamarca;;;Song
54362;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal de La Conejera (Bogota), Cundinamarca;;;Alarm call
54381;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal de La Conejera (Bogota), Cundinamarca;;;Song  and  call
56981;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Cienaga del Convento (Parque Crocodilia), Vereda El Puerto, Sabanagrande, Atlantico;10.854;-74.761;Song
57408;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Call
57409;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Song
57410;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Song
57411;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Song
57412;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Song
57413;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Song
57414;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal Laguna del Neuta, Soacha, Cundinamarca;;;Song
57447;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal de Cordoba, Bogota, Cundinamarca;;;Song
57448;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal de Cordoba, Bogota, Cundinamarca;;;Song
57449;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal de Cordoba, Bogota, Cundinamarca;;;Song
57450;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal de Cordoba, Bogota, Cundinamarca;;;Song
59667;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Ken Allaire;Panama;El Real, Darien Province;;;flight call
59668;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Ken Allaire;Panama;El Real, Darien Province;;;song
88778;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;humedal jaboque, bogota;;;
89326;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;Humedal Jaboque, ciudad de Bogota;4.7075;-74.1278;songs
89327;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;Humedal Jaboque, ciudad de Bogota;4.7075;-74.1278;songs
89328;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;Humedal Jaboque, ciudad de Bogota;4.7075;-74.1278;songs
91780;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;Humedal Jaboque, ciudad de Bogota;4.7075;-74.1278;songs
91782;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;Humedal Jaboque, ciudad de Bogota;4.7075;-74.1278;songs
91800;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;Humedal Jaboque, ciudad de Bogota;4.7075;-74.1278;songs
