2258;Wilsonia;citrina;Hooded Warbler;;Don Jones;Belize;Hidden Valley Inn-Motmot Trail;;;call
33776;Wilsonia;citrina;Hooded Warbler;;Andrew Spencer;United States;Steel Creek, Buffalo National River, Madison Co., Arkansas;36.0403;-93.3406;call
50435;Wilsonia;citrina;Hooded Warbler;;Ian Davies;United States;Stokes State Forest, Sandyston, Sussex County, New Jersey;41.21;-74.77;Song
50437;Wilsonia;citrina;Hooded Warbler;;Ian Davies;United States;Stokes State Forest, Sandyston, Sussex County, New Jersey;41.21;-74.77;Song
50438;Wilsonia;citrina;Hooded Warbler;;Ian Davies;United States;Stokes State Forest, Sandyston, Sussex County, New Jersey;41.21;-74.77;Call
54621;Wilsonia;citrina;Hooded Warbler;;Stuart Fisher;United States;Big Creek Trail - Forsyth, Georgia;34.151;-84.219;Song
59140;Wilsonia;citrina;Hooded Warbler;;Tayler Brooks;United States;Fayette Co., West Virginia;37.937;-80.957;Alternate song
59141;Wilsonia;citrina;Hooded Warbler;;Tayler Brooks;United States;Fayette Co., West Virginia;37.937;-80.957;Call
59945;Wilsonia;citrina;Hooded Warbler;;Mike Nelson;United States;Grassy Gap, Cherokee National Forest, Tennessee;35.364;-84.107;Call
59946;Wilsonia;citrina;Hooded Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;song
59947;Wilsonia;citrina;Hooded Warbler;;Mike Nelson;United States;Alum Cave Trail, GSMNP, Sevier co, Tennessee;35.6301;-83.4489;song
66349;Wilsonia;citrina;Hooded Warbler;;Todd Wilson;United States;Kettle Moraine State Park, South Unit, Waukesha Co., Wisconsin;42.9116459119664;-88.4770653247506;song
76716;Wilsonia;citrina;Hooded Warbler;;Sander Pieterse;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;song
78070;Wilsonia;citrina;Hooded Warbler;;Stuart Fisher;United States;Twin Lakes Creek, Cumming, Georgia;34.1673;-84.1892;Songs
78697;Wilsonia;citrina;Hooded Warbler;;Mike Nelson;United States;White Oak Sinks, GSMNP, Tennessee;35.6309;-83.7359;Song
78698;Wilsonia;citrina;Hooded Warbler;;Mike Nelson;United States;White Oak Sinks, GSMNP, Tennessee;35.6309;-83.7359;Call
78699;Wilsonia;citrina;Hooded Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song
78878;Wilsonia;citrina;Hooded Warbler;;Jonathon Jongsma;United States;Murphy-Hanrehan Park Reserve, Minnesota;44.707;-93.329;song
81076;Wilsonia;citrina;Hooded Warbler;;Mike Nelson;United States;Big South Fork of Cumberland River overlook, Tennessee;36.4689;-84.662;Song
81077;Wilsonia;citrina;Hooded Warbler;;Mike Nelson;United States;Big South Fork of Cumberland River overlook, Tennessee;36.4689;-84.662;Song
82112;Wilsonia;citrina;Hooded Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song
83527;Wilsonia;citrina;Hooded Warbler;;Jelmer Poelstra;United States;Whiskey Hollow, NY;43.116;-76.392;song
98409;Wilsonia;citrina;Hooded Warbler;;Daniel Lane;United States;Sherbourne NWR, Whiskey Bay Rd, Iberville Par., LA;30.4101;-91.6739;song
100116;Wilsonia;citrina;Hooded Warbler;;Mike Nelson;United States;Cross Mountain, Norris, Tenessee;36.2878;-84.2439;Song
100118;Wilsonia;citrina;Hooded Warbler;;Mike Nelson;United States;Cross Mountain, Norris, Tenessee;36.2878;-84.2439;Song
