16383;Thraupis;abbas;Yellow-winged Tanager;;Knut Eisermann;Guatemala;Sacranix mountain, Alta Verapaz;15.5;-90.41667;song
28562;Thraupis;abbas;Yellow-winged Tanager;;Daniel Lane;Belize;Cockscomb Basin Jaguar Preserve, Dangriga Prov.;16.7812;-88.4587;calls, song
28520;Thraupis;abbas;Yellow-winged Tanager;;Daniel Lane;Belize;Cockscomb Basin Jaguar Preserve, Dangriga Prov.;16.7812;-88.4587;song, calls
28317;Thraupis;abbas;Yellow-winged Tanager;;Daniel Lane;Belize;Rio Bravo Research Area, Orange Walk Dist.;17.777;-89.0114;calls
