18213;Camaroptera;chloronota;Olive-green Camaroptera;toroensis;Allen T. Chartier;Kenya;Kakamega Forest;0.26667;34.88333;Song
45816;Camaroptera;chloronota;Olive-green Camaroptera;kelsalli;Mike Nelson;Ghana;Atewa Range, Ghana;6.2401;-0.557;Song
59085;Camaroptera;chloronota;Olive-green Camaroptera;;Marcell Claassen;Uganda;Buhoma2, Bwindi Impenetrable Forest;-0.997;29.616;call
99410;Camaroptera;chloronota;Olive-green Camaroptera;chloronota;Mike Nelson;Cameroon;N16 between Ekondo Titi and Mundemba;4.7759;8.9128;Song
99411;Camaroptera;chloronota;Olive-green Camaroptera;chloronota;Mike Nelson;Cameroon;N16 between Ekondo Titi and Mundemba;4.7759;8.9128;Song
99412;Camaroptera;chloronota;Olive-green Camaroptera;chloronota;Mike Nelson;Cameroon;N16 between Ekondo Titi and Mundemba;4.7759;8.9128;call
99413;Camaroptera;chloronota;Olive-green Camaroptera;chloronota;Mike Nelson;Cameroon;N16 between Ekondo Titi and Mundemba;4.7759;8.9128;Song
