10955;Dacnis;lineata;Black-faced Dacnis;;Todd Mark;Peru;near Alto Dorado, Rio San Francisco drainage, Cajamarca;-4.9548;-78.9792;calls?
47878;Dacnis;lineata;Black-faced Dacnis;;Andrew Spencer;Brazil;Cristalino Jungle Lodge, MT;-9.5981;-55.932;calls
47879;Dacnis;lineata;Black-faced Dacnis;;Andrew Spencer;Brazil;Cristalino Jungle Lodge, MT;-9.5981;-55.932;calls
71316;Dacnis;lineata;Black-faced Dacnis;aequatorialis;Daniel Lane;Ecuador;9.5km NW Pedro Vicente Maldonado, Pichincha;0.136;-79.134;call
61829;Dacnis;lineata;Black-faced Dacnis;lineata;Andrew Spencer;Ecuador;Yasuní Research Station, Parque Nacional Yasuní, Orellana;-0.6742;-76.3978;calls
94861;Dacnis;lineata;Black-faced Dacnis;;Daniel Lane;Ecuador;Sacha Lodge, Rio Napo, Orellana;-0.4714;-76.4603;call
