26825;Apalis;melanocephala;Black-headed Apalis;;The late Jens O. Svendsen and Louis A. Hansen;Tanzania;Ndundulu, Udzungwa Mts, Iringa Region;-7.7834;36.4995;Song?
33744;Apalis;melanocephala;Black-headed Apalis;adjacens;Bram Piot;Malawi;Zomba plateau;-15.3639;35.3009;Song
33745;Apalis;melanocephala;Black-headed Apalis;adjacens;Bram Piot;Malawi;Zomba plateau;-15.3639;35.3009;Song
33746;Apalis;melanocephala;Black-headed Apalis;adjacens;Bram Piot;Malawi;Zomba plateau;-15.3639;35.3009;Song
69812;Apalis;melanocephala;Black-headed Apalis;;Louis A. Hansen;Tanzania;Ukami Forest, Udzungwa Mts, Iringa Region;-7.8834;36.4001;Call
69813;Apalis;melanocephala;Black-headed Apalis;;Louis A. Hansen;Tanzania;Ukami Forest, Udzungwa Mts, Iringa Region;-7.8834;36.4001;Call
99392;Apalis;melanocephala;Black-headed Apalis;muhuluensis;Martin St-Michel;Tanzania;Sanje;-7.8128;36.8978;Song
