30169;Anthus;berthelotii;Berthelot's Pipit;berthelotii;Stuart Fisher;Spain;Cortijo, Fuerteventura;28.3764;-13.9106;calls (probable juvenile)
37468;Anthus;berthelotii;Berthelot's Pipit;madeirensis;Herman van Oosten;Portugal;Ponta do Pargo, Madeira;32.7687;-16.9531;single calls of a perched adult bird.
37469;Anthus;berthelotii;Berthelot's Pipit;madeirensis;Herman van Oosten;Portugal;Ponta do Pargo, Madeira;32.7687;-16.9531;series of calls
37470;Anthus;berthelotii;Berthelot's Pipit;madeirensis;Herman van Oosten;Portugal;Ponta do Pargo, Madeira;32.7687;-16.9531;some calls of a perched bird
87335;Anthus;berthelotii;Berthelot's Pipit;madeirensis;Matthias Feuersenger;Portugal;Ponta do Rosto, Madeira;32.75;-16.708;calls
87336;Anthus;berthelotii;Berthelot's Pipit;madeirensis;Matthias Feuersenger;Portugal;Ponta do Rosto, Madeira;32.75;-16.708;calls
87337;Anthus;berthelotii;Berthelot's Pipit;madeirensis;Matthias Feuersenger;Portugal;Ponta do Rosto, Madeira;32.75;-16.708;calls
87369;Anthus;berthelotii;Berthelot's Pipit;maderensis;Matthias Feuersenger;Portugal;Ponta do Rosto, Madeira;32.75;-16.708;calls
87370;Anthus;berthelotii;Berthelot's Pipit;maderensis;Matthias Feuersenger;Portugal;Ponta do Rosto, Madeira;32.75;-16.708;calls
87371;Anthus;berthelotii;Berthelot's Pipit;maderensis;Matthias Feuersenger;Portugal;Ponta do Rosto, Madeira;32.75;-16.708;calls
