19829;Chalcoparia;singalensis;Ruby-cheeked Sunbird;;David Farrow;Thailand;To Daeng;;;calls
38188;Chalcoparia;singalensis;Ruby-cheeked Sunbird;;Swiss Winnasis;Indonesia;Baluran National Park, Java;-7.8317;114.4139;call
61883;Chalcoparia;singalensis;Ruby-cheeked Sunbird;singalensis;Frank Lambert;Malaysia;Banding Dam area, logging road, Perak;5.5678;101.4009;song of male
65394;Chalcoparia;singalensis;Ruby-cheeked Sunbird;;Iain Woxvold;Indonesia;Sungai Kelay, Berau District, East Kalimantan;1.8348;117.0992;Calls
67603;Chalcoparia;singalensis;Ruby-cheeked Sunbird;borneana;Frank Lambert;Malaysia;Sabah. Danum Valley;4.9;117.7;song
67604;Chalcoparia;singalensis;Ruby-cheeked Sunbird;borneana;Frank Lambert;Malaysia;Sabah;5;117;call
67605;Chalcoparia;singalensis;Ruby-cheeked Sunbird;borneana;Frank Lambert;Malaysia;Sabah. Sepilok, Rainforest Discovery Centre (within 1km);5.879;117.946;song
